Exceedance,VicFalls_full,Ngonye_gauged,Ngonye_synthetic,Conversion
0.0,9435.5576,5935.9208,9912.101075056224,1.050505067666189
0.001,8445.5052,5809.1639,8760.450162610323,1.0405197106917377
0.002,7520.3744,5637.7169,7798.747217056887,1.037015818927431
0.003,6685.2356,5493.5563,6905.53471196827,1.0380177791624172
0.004,6234.1343,5312.6645,6402.2923376499375,1.0314738605144151
0.005,5998.9548,5078.8256,6149.066798715899,1.0250230254636854
0.006,5809.5782,5037.6482,5959.45997619549,1.0257990805934052
0.007,5641.3231,5013.1971,5799.589919027609,1.0280549112720754
0.008,5511.8949,4979.3576,5667.931442240255,1.0283090561542192
0.009000000000000001,5383.7291,4901.7445,5561.7322255179115,1.0245226059988362
0.01,5292.9576,4889.2572,5504.672084454978,1.0393810658255642
0.011,5220.8071,4879.6734,5448.242548352153,1.0435632736463587
0.012,5149.0725,4858.8095,5390.55169802889,1.046897610788912
0.013000000000000001,5077.7546,4821.6213,5328.024200115626,1.0475220754542551
0.014,5006.8544,4810.6006,5268.740362712521,1.0523054879951215
0.015,4953.9539,4787.7546,5205.167705433557,1.0507097584080378
0.016,4901.2893,4765.9413,5140.02065211847,1.0482608517233483
0.017,4831.4375,4745.1032,5073.36834113476,1.050074297998217
0.018000000000000002,4779.3249,4725.835,5009.891805328073,1.0482425677584868
0.019,4713.5162,4685.2145,4917.25085345474,1.0452560588112731
0.02,4675.4401,4664.4888,4868.100916340903,1.0411241761518433
0.021,4607.3322,4645.1427,4820.861229457064,1.0463454815472313
0.022,4573.2514,4617.2635,4767.95487178733,1.0425744081743091
0.023,4539.2767,4584.8867,4715.1048677940025,1.0387348424461549
0.024,4505.4084,4555.2836,4664.810478657597,1.035380161908873
0.025,4479.559,4517.305,4612.060478942885,1.029579134674392
0.026000000000000002,4437.9913,4484.3569,4567.562221321642,1.029195848428464
0.027,4404.4427,4440.0692,4513.708751655985,1.0248081446617492
0.028,4371.001,4412.5344,4471.995632171921,1.023105607198882
0.029,4340.2589,4376.645,4416.088526935886,1.0173723407497501
0.03,4321.0391,4358.8005,4380.539789443827,1.0137699956114323
0.031,4271.6002,4349.2677,4352.413415622739,1.0185112798101397
0.032,4220.5382,4335.6048,4319.231041807247,1.0224433938877127
0.033,4186.702,4325.0899,4277.726910713402,1.0217414353143361
0.034,4136.8208,4292.7072,4218.7987742298865,1.0198166607144032
0.035,4086.1755,4277.4313,4177.788440149153,1.0224202166914156
0.036000000000000004,4053.6119,4253.6624,4139.940539756245,1.0207973844836438
0.037,4018.9229,4241.0524,4107.225579174971,1.0208008286481363
0.038,3960.7774,4224.5582,4067.4786062149346,1.0269394604743338
0.039,3941.514,4194.6555,4019.2403190990494,1.0197199145046927
0.04,3889.5171,4168.86,3979.3156640183897,1.02308732979176
0.041,3846.083,4147.9328,3945.217901765953,1.0253418271189165
0.042,3809.2943,4128.8163,3912.384450220874,1.0270627948648845
0.043000000000000003,3789.5302,4109.4413,3878.7797011080374,1.0235516004353356
0.044,3752.1211,4072.6225,3836.8066153567033,1.0221921144001247
0.045,3714.9455,4058.3465,3815.1157727263558,1.0268096737165175
0.046,3696.4452,4049.1903,3799.958516717555,1.0280034766151964
0.047,3667.4217,4027.8579,3777.9814168947732,1.0286657250044364
0.048,3641.2927,4018.4616,3759.062598015562,1.0323428814210849
0.049,3623.0245,4000.4964,3739.1871752062953,1.0320623487934721
0.05,3586.6615,3977.4491,3710.764319990535,1.0346012078336735
0.051000000000000004,3568.5667,3957.6097,3685.3189335277175,1.0327168421786028
0.052000000000000005,3550.5294,3945.9957,3668.7640827803098,1.0333005784377705
0.053,3514.6276,3919.6521,3635.75169598155,1.0344628534703222
0.054,3496.7627,3903.8119,3616.5396367734625,1.034253664617694
0.055,3483.2772,3894.7959,3604.2280700078386,1.033198877823766
0.056,3453.1404,3885.7883,3580.983661777507,1.037022317939203
0.057,3438.1311,3870.7939,3559.103900376692,1.0351856275569864
0.058,3408.2971,3842.9781,3525.5651133126094,1.0344066288448297
0.059000000000000004,3390.7751,3814.0018,3487.873292834542,1.028635987339456
0.06,3372.9636,3799.142,3465.4560074178917,1.0273162295044078
0.061,3355.9016,3769.849,3429.236828055455,1.0218526157189636
0.062,3321.255,3754.63,3409.2646373320076,1.0264989099999873
0.063,3304.5881,3738.5741,3390.5238411943037,1.0259349388421815
0.064,3304.0166,3721.0827,3371.6593003716016,1.0204728694073757
0.065,3290.1963,3706.556,3355.8315273073763,1.0197902642017858
0.066,3275.6178,3691.2053,3350.5992488897264,1.020991907322436
0.067,3255.1497,3677.9703,3344.0250058730626,1.0247392493998093
0.068,3235.6269,3666.2324,3326.534014194297,1.0280956726482577
0.069,3229.4335,3644.0767,3319.87493588865,1.024742299710467
