WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,PropDays1uPotentialGtRatedPower,PropDays2uPotentialGtRatedPower,PropDays3uPotentialGtRatedPower,PropDays4uPotentialGtRatedPower,FstDay1uPotentialLessRatedPower,LstDay1uPotentialLessRatedPower,FstDay2uPotentialLessRatedPower,LstDay2uPotentialLessRatedPower,FstDay3uPotentialLessRatedPower,LstDay3uPotentialLessRatedPower,FstDay4uPotentialLessRatedPower,LstDay4uPotentialLessRatedPower,Exceedance
1924,3445.6562723883453,130.2268076635365,0.7008190145889592,0.0374384412727808,25.386476679309183,11.844028154347328,59.22827605919179,974.5053192438704,964.4039059066135,192.8332731096893,0.0,700784.6314369207,0.3555477582125422,0.1178082191780822,0.043835616438356165,0.10684931506849316,0.41643835616438357,0.0273972602739726,10,277,263,259,231,58.0,156.0,57.0,158.0,56.0,161.0,26.0,166.0,0.55
1925,4607.486825487114,159.36433036475563,0.483601564489258,0.0397179648974151,25.366303074557987,9.557646507576422,58.2592582121566,976.7917008906414,964.4021858203422,191.4777227279891,0.0,632198.816024702,0.32075028717640897,0.052054794520547946,0.07945205479452055,0.1917808219178082,0.40821917808219177,0.043835616438356165,16,274,272,267,260,67.0,157.0,66.0,158.0,65.0,162.0,63.0,167.0,0.9500000000000001
1926,3303.454729422824,193.12284525272025,0.4876648694797669,0.0656888069532934,25.43455782697633,12.145359995393347,59.6811581320607,974.2039874028244,964.4021858203422,193.4060315424725,21.724952650543685,715137.2810452078,0.3628296707484565,0.06575342465753424,0.06301369863013699,0.16164383561643836,0.39452054794520547,0.0,0,258,254,249,239,54.0,160.0,52.0,162.0,49.0,164.0,43.0,168.0,0.5
1927,2252.949426636941,178.54218611427262,0.4704195974467816,0.0656916654453823,25.389334553574365,14.638779816680383,60.23173396567306,971.7105675815376,964.4021858203422,190.97575869570304,22.45980500285669,710651.1180911165,0.36055358604318444,0.0547945205479452,0.1178082191780822,0.16712328767123288,0.4136986301369863,0.0,0,280,278,274,266,68.0,153.0,67.0,154.0,66.0,157.0,63.0,162.0,0.55
1928,1569.5666450868512,200.7103925487956,0.5020111181438398,0.0942935430383145,25.378378578573702,17.02971739939626,60.23173396567306,969.7093691610498,964.4042623552928,191.2413647982821,23.14472953738269,707426.9687360349,0.35891779235719684,0.08767123287671233,0.1643835616438356,0.18904109589041096,0.4684931506849315,0.0,0,347,339,333,322,107.0,124.0,103.0,128.0,100.0,131.0,94.0,136.0,0.55
1929,2175.853784527441,186.6118002217732,0.4557239882218337,0.0882412234522914,25.38922379625697,14.82487274591024,59.46285308245549,971.5244746523076,964.4021858203422,193.6641417806785,24.70336505866832,823331.0088980698,0.4177224804150532,0.13150684931506848,0.18356164383561643,0.2493150684931507,0.32054794520547947,0.0,0,328,326,321,308,128.0,164.0,127.0,165.0,125.0,168.0,115.0,171.0,0.1
1930,3345.7074668016407,207.0860123264856,0.5646775195011433,0.0536438516170065,25.370461027965824,12.055824432852503,59.46285308245549,974.2935229653654,964.4425160739588,191.4777227279891,24.27309984859884,711639.3462069619,0.3610549701709599,0.06027397260273973,0.1095890410958904,0.2493150684931507,0.35342465753424657,0.0,0,287,284,280,273,86.0,163.0,86.0,166.0,85.0,169.0,82.0,173.0,0.5
1931,3797.34050857074,239.19066032867727,0.4804354782184812,0.0486152693030349,25.1139130155498,11.098792511008426,59.67715944616008,975.2505548872094,964.635143961972,192.2039778180255,30.053843443253403,788347.0310589105,0.39997312585434325,0.10684931506849316,0.10684931506849316,0.1780821917808219,0.35342465753424657,0.0,0,282,277,272,260,63.0,146.0,61.0,149.0,59.0,152.0,53.0,159.0,0.15000000000000002
1932,1593.032437611127,186.6118002217732,0.4832833953848099,0.089712342678952,25.429043108176444,16.881378774267503,60.12694657519904,969.7851817215128,964.4021858203422,192.68468736416307,22.104594033467063,715382.0106040543,0.36295383592290936,0.1095890410958904,0.14520547945205478,0.1726027397260274,0.4657534246575342,0.0,0,344,334,329,315,90.0,110.0,86.0,116.0,83.0,118.0,76.0,125.0,0.45
1933,5617.413979628223,159.36433036475563,0.5073381291370952,0.0425462678853193,25.38870196830132,7.945264948032062,59.6811581320607,978.4608175286274,964.4039059066135,194.42061457174185,0.0,643248.1046583955,0.3263562174826969,0.038356164383561646,0.12602739726027398,0.15616438356164383,0.3917808219178082,0.057534246575342465,21,266,263,260,255,60.0,158.0,59.0,160.0,58.0,162.0,56.0,165.0,0.9
